;apt;cluster;rwy;trajectory;Lat;Lon
0;JAI;1;27;0;26.826225;75.83337222
1;JAI;1;27;0;26.82373394888889;75.80685863888888
2;JAI;1;27;0;26.82268539699661;75.80073312745526
3;JAI;1;27;0;26.81609245933252;75.78686993227387
4;JAI;1;27;0;26.8093571199689;75.78433693625284
5;JAI;1;27;0;26.80423644719996;75.78511784935922
6;JAI;1;27;0;26.80071926694127;75.78607219085939
7;JAI;1;27;0;26.79702034721591;75.78750312645302
8;JAI;1;27;0;26.78980751737982;75.79394426323162
9;JAI;1;27;0;26.78265765258929;75.80635988592857
10;JAI;1;27;0;26.77632015509491;75.81634045177991
11;JAI;1;27;0;26.77016118778327;75.82797431330731
12;JAI;1;27;0;26.76355790549042;75.84629471954514
13;JAI;1;27;0;26.7567726904697;75.86340450564401
14;JAI;1;27;0;26.748827432624;75.88193384507075
15;JAI;1;27;0;26.73644069319659;75.89352034043995
16;JAI;1;27;0;26.72176678325826;75.90417385120892
17;JAI;1;27;0;26.70663890443434;75.91392256511438
18;JAI;1;27;0;26.69087494659112;75.92364477057403
19;JAI;1;27;0;26.67498051824768;75.93396098654136
20;JAI;1;27;0;26.6596532837039;75.94556867249578
21;JAI;1;27;0;26.64350115609139;75.95477285431872
22;JAI;1;27;0;26.62777913754045;75.96400699624016
23;JAI;1;27;0;26.61306642747023;75.97363059553652
24;JAI;1;27;1;26.826225;75.83337222
25;JAI;1;27;1;26.82373394888889;75.80685863888888
26;JAI;1;27;1;26.82292058870363;75.80064550632858
27;JAI;1;27;1;26.81857619486864;75.78414749582079
28;JAI;1;27;1;26.81207460309486;75.77863915966992
29;JAI;1;27;1;26.80679459443388;75.77727423947016
30;JAI;1;27;1;26.80263284051886;75.77741930678647
31;JAI;1;27;1;26.79795685423181;75.77857760457296
32;JAI;1;27;1;26.78971647579814;75.78329444343738
33;JAI;1;27;1;26.78150187035252;75.79197506907256
34;JAI;1;27;1;26.77432682557507;75.801384398184
35;JAI;1;27;1;26.76729271465717;75.81200080817062
36;JAI;1;27;1;26.75849003737968;75.82505622957444
37;JAI;1;27;1;26.7494477321783;75.8383446114749
38;JAI;1;27;1;26.73946719088673;75.85394366688597
39;JAI;1;27;1;26.72793483663073;75.87022065639842
40;JAI;1;27;1;26.71652579545216;75.89057554703356
41;JAI;1;27;1;26.70411403687862;75.90749207057225
42;JAI;1;27;1;26.68961467537497;75.92053187671355
43;JAI;1;27;1;26.67401803225399;75.93167683051573
44;JAI;1;27;1;26.65807254809961;75.94196838940914
45;JAI;1;27;1;26.64207527361542;75.95164414520035
46;JAI;1;27;1;26.62639239004086;75.96105791807118
47;JAI;1;27;1;26.61133995960294;75.97010410703201
48;JAI;1;27;2;26.826225;75.83337222
49;JAI;1;27;2;26.82373394888889;75.80685863888888
50;JAI;1;27;2;26.82304363422335;75.80059966548153
51;JAI;1;27;2;26.8201491535269;75.78242336701231
52;JAI;1;27;2;26.81410288985071;75.77438642865184
53;JAI;1;27;2;26.80865983949624;75.77155515715049
54;JAI;1;27;2;26.80418905449647;75.77038234761304
55;JAI;1;27;2;26.7987958798195;75.77058114420093
56;JAI;1;27;2;26.7896394509583;75.77428426754913
57;JAI;1;27;2;26.78062266038298;75.78103245896189
58;JAI;1;27;2;26.77276976031693;75.78970165771318
59;JAI;1;27;2;26.76488482490618;75.79859212779776
