Unnamed: 0;apt;cluster;rwy;trajectory;Lat;Lon;x (m);y (m)
0;JAI;1;27;0;26.826225;75.83337222;2104.4681153060433;224.54698071859877
1;JAI;1;27;0;26.82373394888889;75.80685863888887;-531.1791275734882;-51.627640652433556
2;JAI;1;27;0;26.822685396996608;75.80073312745526;-1140.1216688427708;-167.76767225557006
3;JAI;1;27;0;26.81609245933252;75.78686993227387;-2518.408914222751;-898.0704294931137
4;JAI;1;27;0;26.8093571199689;75.78433693625284;-2770.3926337167068;-1644.2983624392853
5;JAI;1;27;0;26.80423644719996;75.78511784935921;-2692.8739350590463;-2211.689577553943
6;JAI;1;27;0;26.80071926694127;75.7860721908594;-2598.067594427162;-2601.4156968111997
7;JAI;1;27;0;26.79702034721591;75.78750312645302;-2455.870451678351;-3011.2872850046615
8;JAI;1;27;0;26.789807517379817;75.79394426323162;-1815.5271148101192;-3810.5826678322665
9;JAI;1;27;0;26.782657652589286;75.80635988592856;-580.9691612908612;-4602.910327466921
10;JAI;1;27;0;26.77632015509491;75.81634045177991;411.5713149891568;-5305.116531739578
11;JAI;1;27;0;26.77016118778327;75.82797431330731;1568.6500392751764;-5987.444030028256
12;JAI;1;27;0;26.763557905490423;75.84629471954514;3390.919477808529;-6718.7347171315005
13;JAI;1;27;0;26.7567726904697;75.86340450564401;5092.990883433942;-7469.969674514667
14;JAI;1;27;0;26.748827432624;75.88193384507075;6936.543481251332;-8349.431774715522
15;JAI;1;27;0;26.736440693196588;75.89352034043995;8089.9838196316205;-9721.205336161755
16;JAI;1;27;0;26.72176678325826;75.90417385120892;9151.029822257318;-11346.361049492274
17;JAI;1;27;0;26.70663890443434;75.91392256511438;10122.351755819114;-13021.799939789118
18;JAI;1;27;0;26.69087494659112;75.92364477057403;11091.354700359441;-14767.644159162297
19;JAI;1;27;0;26.67498051824768;75.93396098654135;12119.766130569067;-16527.813312429185
20;JAI;1;27;0;26.6596532837039;75.94556867249578;13276.967254497484;-18224.918351733533
21;JAI;1;27;0;26.64350115609139;75.95477285431872;14195.274860343352;-20013.587009097137
22;JAI;1;27;0;26.62777913754045;75.96400699624016;15116.768401123416;-21754.528628554075
23;JAI;1;27;0;26.61306642747023;75.97363059553652;16077.160719515643;-23383.521337380615
24;JAI;1;27;1;26.826225;75.83337222;2104.4681153060433;224.54698071859877
25;JAI;1;27;1;26.82373394888889;75.80685863888887;-531.1791275734882;-51.627640652433556
26;JAI;1;27;1;26.822920588703628;75.80064550632858;-1148.8297211980048;-141.70746259613844
27;JAI;1;27;1;26.81857619486864;75.7841474958208;-2789.001427749879;-622.8137516116755
28;JAI;1;27;1;26.81207460309486;75.77863915966992;-3336.7958040876983;-1343.0621360542586
29;JAI;1;27;1;26.806794594433878;75.77727423947016;-3472.6562182588777;-1928.0544647423028
30;JAI;1;27;1;26.80263284051886;75.77741930678647;-3458.3593740614065;-2389.1838901172455
31;JAI;1;27;1;26.79795685423181;75.77857760457296;-3343.3298209983204;-2907.3177216461886
32;JAI;1;27;1;26.78971647579814;75.78329444343737;-2874.534525259705;-3820.4733911609987
33;JAI;1;27;1;26.78150187035252;75.79197506907256;-2011.487988187321;-4730.824969274258
34;JAI;1;27;1;26.77432682557507;75.801384398184;-1075.8352917226214;-5525.939819598753
35;JAI;1;27;1;26.767292714657174;75.81200080817062;-20.010223493997792;-6305.370494536876
36;JAI;1;27;1;26.75849003737968;75.82505622957444;1278.5602354688283;-7280.649092738171
37;JAI;1;27;1;26.7494477321783;75.83834461147491;2600.5102007353225;-8282.340252330316
38;JAI;1;27;1;26.73946719088673;75.85394366688597;4152.574229765988;-9387.776621771804
39;JAI;1;27;1;26.72793483663073;75.87022065639842;5772.437176408278;-10664.933373039994
40;JAI;1;27;1;26.71652579545216;75.89057554703356;7798.382045573345;-11927.974690039016
41;JAI;1;27;1;26.704114036878618;75.90749207057225;9482.654455455806;-13302.053990583658
42;JAI;1;27;1;26.68961467537497;75.92053187671354;10781.66271590747;-14907.55150714746
43;JAI;1;27;1;26.67401803225399;75.93167683051574;11892.503903401759;-16634.673667394705
44;JAI;1;27;1;26.658072548099607;75.94196838940914;12918.729573632014;-18400.436804555273
45;JAI;1;27;1;26.642075273615422;75.95164414520035;13883.933885885206;-20171.922182495655
46;JAI;1;27;1;26.62639239004086;75.96105791807119;14823.278812877585;-21908.52939480959
47;JAI;1;27;1;26.611339959602944;75.97010410703201;15726.184989511321;-23575.25746548356
48;JAI;1;27;2;26.826225;75.83337222;2104.4681153060433;224.54698071859877
49;JAI;1;27;2;26.82373394888889;75.80685863888887;-531.1791275734882;-51.627640652433556
50;JAI;1;27;2;26.823043634223353;75.80059966548153;-1153.385508774878;-128.07350991551468
51;JAI;1;27;2;26.8201491535269;75.78242336701231;-2960.362537332045;-448.48970758839135
52;JAI;1;27;2;26.814102889850712;75.77438642865185;-3759.5326287636553;-1118.207584412932
53;JAI;1;27;2;26.80865983949624;75.77155515715049;-4041.203860908131;-1721.214664009968
54;JAI;1;27;2;26.80418905449647;75.77038234761305;-4157.970475909634;-2216.543117656948
55;JAI;1;27;2;26.798795879819497;75.77058114420093;-4138.400763350511;-2814.117406498749
56;JAI;1;27;2;26.7896394509583;75.77428426754912;-3770.4987098965657;-3828.7719541074503
57;JAI;1;27;2;26.78062266038298;75.78103245896189;-3099.711040745219;-4828.021767059238
58;JAI;1;27;2;26.77276976031693;75.78970165771318;-2237.741178307807;-5698.3113199348145
59;JAI;1;27;2;26.76488482490618;75.79859212779776;-1353.6451205778546;-6572.0939405365625
60;JAI;1;27;2;26.75514895110847;75.81105436020613;-114.15461406943732;-7650.90823421566
61;JAI;1;27;2;26.745598973438977;75.82517737108209;1290.7556757030154;-8708.987543492556
62;JAI;1;27;2;26.7351099059258;75.84091396253841;2856.4530776141005;-9870.926982011837
63;JAI;1;27;2;26.72360693671877;75.85836544819789;4593.103952263734;-11144.952229362545
64;JAI;1;27;2;26.711423673247513;75.87733754453375;6481.454639143197;-12494.038665675695
65;JAI;1;27;2;26.6995450242059;75.89585541621057;8324.983056608206;-13809.120720518154
66;JAI;1;27;2;26.687299176388173;75.9148125502007;10212.647127350509;-15164.583784003687
67;JAI;1;27;2;26.67352075281423;75.93049669507873;11775.084761002854;-16689.882694923337
68;JAI;1;27;2;26.657749771702214;75.94123323395296;12845.578441923544;-18436.275334223574
69;JAI;1;27;2;26.64180784146687;75.95105733849235;13825.539296197152;-20201.617966105845
70;JAI;1;27;2;26.62618702056809;75.96062117624983;14779.814055600993;-21931.33545909677
71;JAI;1;27;2;26.611168131475967;75.96975313037848;15691.253261427439;-23594.33962722385
72;JAI;1;27;3;26.826225;75.83337222;2104.4681153060433;224.54698071859877
73;JAI;1;27;3;26.82373394888889;75.80685863888887;-531.1791275734882;-51.627640652433556
74;JAI;1;27;3;26.823145034798287;75.80056188850064;-1157.1398800865481;-116.83790543770917
75;JAI;1;27;3;26.82103523683575;75.7814521261272;-3056.892055042388;-350.28799358062196
76;JAI;1;27;3;26.816273957511672;75.76983432734882;-4212.011259594656;-877.5087514813956
77;JAI;1;27;3;26.810773377677823;75.76507477605195;-4685.411534238419;-1486.810327723038
78;JAI;1;27;3;26.805830629895574;75.76295939727989;-4895.93591931047;-2034.3906375182553
79;JAI;1;27;3;26.79969654900638;75.76199718017546;-4991.872904958869;-2714.0138890660246
80;JAI;1;27;3;26.789549078556327;75.76371272674709;-4821.725230535655;-3838.427480238262
81;JAI;1;27;3;26.77964954513029;75.76892110766714;-4304.182896124012;-4935.490412023189
82;JAI;1;27;3;26.770804339012532;75.77495500088875;-3704.4139159054744;-5915.736255482202
83;JAI;1;27;3;26.762069613046325;75.78291521568202;-2912.951078179062;-6883.758009981932
84;JAI;1;27;3;26.75117223735015;75.7943886945994;-1771.9339798375797;-8091.407283516126
85;JAI;1;27;3;26.740396584764923;75.80737913873563;-479.7874071787499;-9285.473045839668
86;JAI;1;27;3;26.727809567112953;75.81908356649559;684.6669051433189;-10680.114727011225
87;JAI;1;27;3;26.71369501345137;75.83121419322596;1891.8121327488195;-12243.894805332273
88;JAI;1;27;3;26.69840449282176;75.84355788655837;3120.4922263354597;-13937.852162906367
89;JAI;1;27;3;26.68389115795711;75.85598714619057;4357.988611410045;-15545.574099821168
90;JAI;1;27;3;26.668183408885607;75.86759624109636;5514.21519455717;-17285.552477700952
91;JAI;1;27;3;26.65199559375825;75.87941353949718;6691.516649910371;-19078.605468903577
92;JAI;1;27;3;26.63602676538064;75.89175691923096;7921.52035932617;-20847.25178379455
93;JAI;1;27;3;26.61991480629859;75.90301906050342;9044.202225520805;-22631.714583479323
94;JAI;1;27;3;26.60445611179019;75.91440789756146;10179.761561294383;-24343.684933022654
95;JAI;1;27;3;26.58957781268392;75.92565267970049;11301.220819151225;-25991.257499970594
96;JAI;1;27;4;26.826225;75.83337222;2104.4681153060433;224.54698071859877
97;JAI;1;27;4;26.82373394888889;75.80685863888887;-531.1791275734882;-51.627640652433556
98;JAI;1;27;4;26.823245514768143;75.80052445449294;-1160.8601592654354;-105.70430672164004
99;JAI;1;27;4;26.82145586645948;75.78099107163722;-3102.7147315953225;-303.67073033821066
